mittlere_position	herkunft	zeichen	in_prompts	satz
31.0	backgroundLibraryInstruction	147	13/26	Reference images 5 through 8 show a library of additional background-character designs — NOT named heroes, no names or identities attached to them.
31.0	kinderUnterscheidung	318	13/26	Keep the named children strictly apart: the boy from reference image 2 has short wavy brown hair and wears a blue-and-white checked shirt; the girl from reference image 3 has short wavy black hair and wears a cream polka dot top; the girl from reference image 6 has short wavy blond hair and wears a red striped dress.
33.0	backgroundLibraryInstruction	24	26/26	Do two things with them.
33.0	backgroundLibraryInstruction	148	13/26	Reference images 7 through 10 show a library of additional background-character designs — NOT named heroes, no names or identities attached to them.
34.0	backgroundLibraryInstruction	322	26/26	FIRST: pick four to six of the people shown on these sheets and draw them into this scene, all of them in the middle distance and all of them at exactly the midground size given by the size rule above — this instruction never makes anybody bigger, and none of these four to six may come near the front edge of the picture.
35.0	backgroundLibraryInstruction	178	26/26	Keep each of them recognisably the same person in hair, build and colour combination; recognisable here means the silhouette, the hair and the colours, nothing smaller than that.
36.0	backgroundLibraryInstruction	214	26/26	RE-DRESS THEM COMPLETELY for this scene: the sheets show people in coats, scarves, woolly hats and rain macs, and none of that may appear in this image unless this scene's own place and season actually call for it.
37.0	backgroundLibraryInstruction	212	26/26	A figure from the sheets keeps their hair and their colours and gets the clothes that belong here — a winter coat becomes a shirt, an apron, a summer dress, whatever is right for this place and this time of year.
38.0	backgroundLibraryInstruction	77	26/26	A single scarf or woolly hat that does not belong to this scene is a mistake.
39.0	backgroundLibraryInstruction	70	26/26	SECOND: the sheets set the standard for everybody else in the picture.
40.0	backgroundLibraryInstruction	208	26/26	Every unnamed person in this scene is a properly drawn character with their own hairstyle, their own clothes and their own combination of colours, as varied from one another as the people on these sheets are.
41.0	backgroundLibraryInstruction	151	26/26	No repeated silhouettes, no grey filler shapes, nobody left as a vague blob — even the small figures far back get their own hair and their own colours.
42.0	backgroundLibraryInstruction	45	26/26	Invent all those further characters yourself.
43.0	COMPOSITION_TYPES	205	10/26	Composition: one open, continuous place seen from a slightly elevated angle, with a clear near-to-far depth: a foreground edge, a broad middle distance, and a far distance that recedes towards the horizon.
43.0	COMPOSITION_TYPES	301	10/26	Composition: a large place seen obliquely from above, roughly from the height of a first-floor window, wide enough that the whole site and what lies around it are visible at once — the main area in the middle, and around it the paths, the edges and the neighbouring ground, each with its own activity.
43.0	COMPOSITION_TYPES	140	2/26	Composition: a house cut open towards the viewer, several rooms and at least two floors visible at the same time, like an open doll's house.
43.0	COMPOSITION_TYPES	93	2/26	Composition: a building cut open into a GRID of many small rooms, like a printer's type case.
43.0	COMPOSITION_TYPES	102	2/26	Composition: a large place seen obliquely from above, roughly from the height of a first-floor window.
44.0	COMPOSITION_TYPES	71	10/26	Spread the action across all three so the eye travels into the picture.
44.0	COMPOSITION_TYPES	65	10/26	Several separate corners of activity rather than one single spot.
44.0	scenePrompt	1156	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now stroking a calf on the forehead, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now feeding a lamb from a bottle, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now sitting on the fence looking across the yard, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the right side of the image.
44.0	COMPOSITION_TYPES	80	2/26	Each room keeps its own floor, walls and ceiling and holds its own little scene.
44.0	COMPOSITION_TYPES	266	2/26	Count them: there are at least TEN separate rooms, laid out in at least three rows one above the other and at least three columns side by side, each room walled off from its neighbours and each one a complete little scene with its own furniture and its own activity.
44.0	COMPOSITION_TYPES	209	2/26	A house cut open towards the viewer sits in the middle, and around it the street, the square and the surroundings continue with their own life — market stalls, front gardens, a path, whatever the theme brings.
44.0	scenePrompt	1168	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now carrying two buckets of water, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now digging the moat around a sandcastle, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now shovelling sand over someone's feet, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the right half, clearly right of the middle.
44.0	scenePrompt	1172	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now stroking a cow at the side of the path, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now drinking from a water bottle, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now collecting stones into a jacket pocket, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle.
44.0	scenePrompt	1174	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now sitting on someone's shoulders looking over the crowd, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now pointing at a shop window, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now counting coins in their hand, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle.
44.0	scenePrompt	1134	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now holding a ball under one arm, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the left half, clearly left of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now feeding ducks at the pond, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the right side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now drawing on the path with chalk, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image.
45.0	COMPOSITION_TYPES	182	10/26	This is emphatically NOT a cross-section and NOT a cut-open building: every building here is seen from the outside, with its front wall intact, and the viewer stands out in the open.
45.0	COMPOSITION_TYPES	261	2/26	All the rooms are the same distance from the viewer, so depth comes from the rooms being staggered, from furniture overlapping, and from what can be seen through doorways and windows — never from drawing the people in one room bigger than the people in another.
45.0	COMPOSITION_TYPES	160	2/26	The rooms are small and roughly equal in size — a picture with three or four generous rooms is the wrong composition for this image, however nicely drawn it is.
45.0	COMPOSITION_TYPES	79	2/26	Inside and outside are visible at once, side by side, each with its own ground.
46.0	COMPOSITION_TYPES	179	10/26	No stacked rows of rooms, no interiors laid open side by side, no dividing lines or borders drawn across the picture — one single continuous place, seen from one single viewpoint.
46.0	scenePrompt	1151	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now climbing onto a straw bale, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the left side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now holding a chicken in their arms, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now carrying a bucket of feed with both hands, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, in the left half, clearly left of the middle.
46.0	scenePrompt	1712	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now pushing a wheelbarrow full of apples, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the left half, clearly left of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now stroking a calf on the forehead, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now climbing onto a straw bale, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now carrying a bucket of feed with both hands, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the right half, clearly right of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now holding a chicken in their arms, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the left half, clearly left of the middle.
46.0	COMPOSITION_TYPES	120	2/26	The whole pleasure here is the number of separate places to discover, so err on the side of more rooms and smaller ones.
46.0	scenePrompt	1158	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now carrying two buckets of water, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now holding a kite by its string, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now jumping over a running-out wave, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the right side of the image.
46.0	scenePrompt	1823	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now carrying two buckets of water, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now holding a wooden boat into the water, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now searching for shells along the waterline, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now jumping over a running-out wave, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the left side of the image; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now standing knee-deep in the water looking down, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle.
46.0	scenePrompt	1143	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now pointing down into the valley, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now stroking a cow at the side of the path, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now holding a hiking pole, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle.
46.0	scenePrompt	1683	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now drinking from a water bottle, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now holding a hiking pole, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now sitting on a backpack tying a shoe, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now collecting stones into a jacket pocket, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now pointing down into the valley, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the right side of the image.
46.0	scenePrompt	1179	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now stopping in front of a street musician, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now carrying a long loaf under one arm, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now holding a bag of fruit from the market, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the left side of the image.
46.0	scenePrompt	1823	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now pointing at a shop window, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now carrying a long loaf under one arm, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now holding a bag of fruit from the market, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the right half, clearly right of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now standing in the queue at the ice cream parlour, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now sitting on someone's shoulders looking over the crowd, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the right side of the image.
46.0	scenePrompt	1139	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now climbing the ladder to the slide, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the left side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now swinging while standing up, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the right side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now holding a ball under one arm, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle.
46.0	scenePrompt	1666	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now swinging while standing up, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the left side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now blowing soap bubbles, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the right half, clearly right of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now hanging from the climbing frame, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now feeding ducks at the pond, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the right side of the image; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now climbing the ladder to the slide, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the left side of the image.
46.3	CUTAWAY_SCALE_RULE	96	6/26	Because this is a building cut open for the viewer, three things about it are easy to get wrong.
47.3	CUTAWAY_SCALE_RULE	261	6/26	First, every room is exactly the same distance from the viewer, so all the people in this house are drawn at ONE single size: a person in the top left room is exactly as tall as a person in the bottom right room, upstairs as downstairs, front room as back room.
48.0	scenePrompt	1712	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now pushing a wheelbarrow full of apples, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now gathering eggs into a basket, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now feeding a lamb from a bottle, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now carrying a bucket of feed with both hands, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now climbing onto a straw bale, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, in the right half, clearly right of the middle.
48.0	scenePrompt	1814	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now searching for shells along the waterline, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now digging the moat around a sandcastle, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now carrying two buckets of water, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, in the left half, clearly left of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now standing knee-deep in the water looking down, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now shovelling sand over someone's feet, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the left side of the image.
